English,Russian,Hindi
He's in prison.,Он в тюрьме.,वह जेल में है.
It's hailing.,Это приветствие.,यह जयजयकार कर रहा है।
Don't lie to us.,Не лгите нам.,हमसे झूठ मत बोलो.
It's time.,Пора.,यह समय है।
Tom's upstairs.,Том наверху.,टॉम ऊपर है.
I'm a klutz.,Я неуклюжий.,मैं एक क्लुट्ज़ हूं।
3 times 5 is 15.,3 раза по 5 будет 15.,3 गुना 5 15 है.
Is this a river?,Это река?,क्या यह एक नदी है?
Take the bus.,Сесть в автобус.,बस को लो।
Tom is a cop.,Том — полицейский.,टॉम एक पुलिस वाला है.
I just miss you.,Я просто скучаю по тебе.,मुझे बस तुम्हारी कमी महसूस है।
You're not sick.,Вы не больны.,आप बीमार नहीं हैं.
Get my rifle.,Возьми мою винтовку.,मेरी राइफल ले आओ.
Tom looked up.,Том поднял глаза.,टॉम ने ऊपर देखा।
Let's sit tight.,Давайте сидеть спокойно.,आइए आराम से बैठें।
I called her up.,Я позвонил ей.,मैंने उसे फोन किया.
I'm honest.,Я честен.,मैं ईमानदार हूँ।
Tom is merciful.,Том милосерден.,टॉम दयालु है.
Tom looks sick.,Том выглядит больным.,टॉम बीमार लग रहा है.
You're too old.,Ты слишком стар.,आप बहुत बूढ़े हैं.
Would you do it?,Ты это сделаешь?,तुमसे यह होगा?
Can you try?,Ты можешь попробовать?,क्या आप इसे आजमा सकते हैं?
Just forget it.,Просто забудь это.,बस इसे भूल जाओ।
Tom will say no.,Том скажет нет.,टॉम नहीं कहेगा.
Tom is nodding.,Том кивает.,टॉम सिर हिला रहा है.
I did warn you.,Я предупреждал тебя.,मैंने तुम्हें चेतावनी दी थी.
I swim.,Я плаваю.,मैं तैरता हूं।
I'm a busy guy.,Я занятой парень.,मैं एक व्यस्त आदमी हूँ.
We'll try again.,Мы попробуем еще раз.,हम फिर कोशिश करेंगे.
I drove.,Я поехал.,मैंने चलाया।
We can help you.,Мы можем помочь тебе.,हम आप की मदद कर सकते हैं।
He must be tired.,"Он, должно быть, устал.",वह थक गया होगा.
Is my time up?,Мое время истекло?,क्या मेरा समय ख़त्म हो गया है?
I have it.,У меня есть это.,यह मेरे पास है।
I love beans.,Я люблю фасоль.,मुझे बीन्स बहुत पसंद हैं.
I recognize you.,Я узнаю тебя.,मैं आपको पहचानता हूँ।
Don't betray me.,Не предавай меня.,मुझे धोखा मत दो.
Tom just ate.,Том только что поел.,टॉम ने अभी खाया।
Is it Monday?,Сегодня понедельник?,क्या यह सोमवार है?
I love women.,Я люблю женщин.,मुझे महिलाएं पसंद हैं।
Get to the point!,Переходите к делу!,असल बात पर आओ!
I'm not done.,Я еще не закончил.,मैं नहीं हुआ।
They're gone.,Они ушли.,वे जा चुके हैं।
I'm a housewife.,Я домохозяйка.,मैं एक गृहिणी हूँ.
Send Tom in.,Отправьте Тома.,टॉम को अंदर भेजो.
I love my family.,Я люблю свою семью.,मुझे अपने परिवार से प्यार है।
He's good.,Он хорош.,वह अच्छा है।
We needed a win.,Нам нужна была победа.,हमें जीत की जरूरत थी.
I'll watch Tom.,Я присмотрю за Томом.,मैं टॉम को देखूंगा।
I'll be ready.,Я буду готов.,मैं तैयार हो जाऊंगा।
Is this cool?,Это круто?,क्या यह अच्छा है?
I also went.,Я тоже пошел.,मैं भी गया था।
Is it that hard?,Это так сложно?,क्या यह इतना कठिन है?
My chest hurts.,У меня болит грудь.,मेरी छाती दुखती है।
Does love exist?,Существует ли любовь?,क्या प्यार मौजूद है?
Let's pray.,Давайте помолимся.,चलिए प्रार्थना करते हैं।
Who can be sure?,Кто может быть уверен?,कौन निश्चित हो सकता है?
We called Tom.,Мы позвонили Тому.,हमने टॉम को बुलाया।
Tom needs it.,Тому это нужно.,टॉम को इसकी ज़रूरत है।
We ate eggs.,Мы ели яйца.,हमने अंडे खाये.
Take Tom.,Возьмите Тома.,टॉम को ले लो.
Tom is a Taurus.,Том — Телец.,टॉम वृषभ राशि का है।
Tom's fearless.,Том бесстрашен.,टॉम निडर है.
What'd I do?,Что я сделал?,मैंने क्या किया?
Tom knew it.,Том знал это.,टॉम यह जानता था।
I'm heartbroken.,Я убит горем.,मैं बहुत दुःखी हूं।
Can it be fixed?,Можно ли это исправить?,क्या इसे ठीक किया जा सकता है?
I ran outside.,Я выбежал на улицу.,मैं बाहर भागा.
Fold the towels.,Сложите полотенца.,तौलिए मोड़ो.
I did say that.,Я это сказал.,मैंने ऐसा कहा था.
Let Tom try.,Пусть Том попробует.,टॉम को प्रयास करने दो.
I love French.,Я люблю французский.,मुझे फ्रेंच से प्यार है।
Let me alone.,Оставьте меня в покое.,मुझे अकेला छोड़ दो।
Sit there.,Сиди здесь.,वहाँ बैठो।
It was easy.,Это было легко.,वह बहुत आसान था।
She was perfect.,Она была идеальна.,वह एकदम सही थी.
Make your bed.,Заправь свою кровать.,अपना विस्तर बनाएं।
I need a partner.,Мне нужен партнер.,मुझे एक साथी की जरूरत है.
He loves toys.,Он любит игрушки.,उसे खिलौने बहुत पसंद हैं.
They're cool.,Они классные.,वे अच्छे हैं।
Is Tom fat?,Том толстый?,क्या टॉम मोटा है?
I needed money.,Мне нужны были деньги.,मुझे पैसों की जरूरत थी.
That's the key.,Это ключ.,यही कुंजी है.
Tom will stay.,Том останется.,टॉम रहेगा.
Pigs can't fly.,Свиньи не умеют летать.,सूअर उड़ नहीं सकते.
Food costs money.,Еда стоит денег.,भोजन में पैसा खर्च होता है।
