Russian
Идти.
Привет.
Бегать!
Бегать.
ВОЗ?
Ух ты!
Огонь!
Помощь!
Скрывать.
Прыгать!
Прыгать.
Оставаться.
Останавливаться!
Ждать!
Ждать.
Сделай это.
Продолжать.
Привет!
Торопиться!
Я побежал.
Я понимаю.
Я попробую.
Я выиграл!
"О, нет!"
Расслабляться.
Стрелять!
Улыбка.
Атака!
Ваше здоровье!
Выкуси.
Ешьте.
Замри!
Вставать.
Иди сейчас.
Понятно!
Понятно?
Он побежал.
Запрыгивай.
Обними меня.
Я упал.
Я вяжу.
Я знаю.
Я ушел.
Я врал.
Я потерял.
Я заплатил.
С меня хватит.
Я плаваю.
Я работаю.
Мне 19.
Я в порядке.
Я вверху.
Слушать.
Ни за что!
Действительно?
Попробуй это.
Мы пытаемся.
Мы выиграли.
Почему я?
Спроси Тома.
Потрясающий!
Успокойся.
Будь честен.
Будь милым.
Отвали.
Сожги это.
Позвоните мне.
Позвоните нам.
Войдите.
Ну давай же!
Ну давай же.
Брось это!
Брось это.
Сложите его.
Возьми Тома.
Убирайся!
Убирайся.
Уходите!
Уходите.
Возвращаться.
Иди домой.
Двигайся медленнее.
До свидания!
Подожди.
Он пришел.
Он вышел.
Он бежит.
Помоги мне!
Помоги мне.
Помоги нам.
Привет том.
Ударь Тома.
Погоди!
Подожди.
Обними Тома.
Я согласен.
Я поклонился.
Я плакал.
Я задремал.
Я поехал.
Я переехал.
Я спал.
Я храплю.
Я стоял.
Я поклялся.
Я пытался.
Я махнул.
Я пойду.
Я Том.
Я плохой.
Я толстый.
Я готов.
Я поражен!
Мне жарко.
Я болен.
Я псих.
Я новенький.
Я стар.
Мне грустно.
Я застенчив.
Я мокрый.
Ничего страшного.
Это я!
Это я.
Присоединяйтесь к нам.
Оставь это.
Убей это.
Поцелуй меня.
Закрой.
Искать.
Я тоже.
Открыть.
Идеальный!
Вытащить его.
Брось это!
Увидимся!
Увидимся.
Покажите мне.
Замолчи!
Пропусти это.
Пока.
Прекрати это.
Возьми это.
Скажи мне.
Том поел.
Том побежал.
Том победил.
Проснуться!
Проснуться.
Вымойтесь.
Мы заботимся.
Мы знаем.
Мы потерялись.
Кто ел?
Кто побежал?
Кто выиграл?
Почему нет?
Ты бежишь.
Ты выиграл.
Я толстый?
Спроси их.
Отвали!
Отвали.
Будь мужчиной.
Быть храбрым.
Будь краток.
Будь спокоен.
Бьет меня.
Отдохните.
"Пока, Том."
