English,Russian,Hindi
Go.,Идти.,जाना।
Hi.,Привет.,नमस्ते।
Run!,Бегать!,दौड़ना!
Run.,Бегать.,दौड़ना।
Who?,ВОЗ?,कौन?
Wow!,Ух ты!,बहुत खूब!
Fire!,Огонь!,आग!
Help!,Помощь!,मदद करना!
Hide.,Скрывать.,छिपाना।
Jump!,Прыгать!,कूदना!
Jump.,Прыгать.,कूदना।
Stay.,Оставаться.,रहना।
Stop!,Останавливаться!,रुकना!
Wait!,Ждать!,इंतज़ार!
Wait.,Ждать.,इंतज़ार।
Do it.,Сделай это.,इसे करें।
Go on.,Продолжать.,जारी रखें।
Hello!,Привет!,नमस्ते!
Hurry!,Торопиться!,जल्दी करो!
I ran.,Я побежал.,मैं भागा.
I see.,Я понимаю.,अच्छा ऐसा है।
I try.,Я попробую.,मैं कोशिश करता हूँ।
I won!,Я выиграл!,मैं जीता!
Oh no!,"О, нет!",अरे नहीं!
Relax.,Расслабляться.,आराम करना।
Shoot!,Стрелять!,गोली मार!
Smile.,Улыбка.,मुस्कान।
Attack!,Атака!,आक्रमण करना!
Cheers!,Ваше здоровье!,प्रोत्साहित करना!
Eat it.,Выкуси.,इसे खाएं।
Eat up.,Ешьте.,खाओ।
Freeze!,Замри!,जमाना!
Get up.,Вставать.,उठना।
Go now.,Иди сейчас.,अब जाओ।
Got it!,Понятно!,समझ गया!
Got it?,Понятно?,समझ गया?
He ran.,Он побежал.,वह भागा।
Hop in.,Запрыгивай.,जल्दी से आना।
Hug me.,Обними меня.,मुझे गले लगाओ।
I fell.,Я упал.,मैं गिर गया।
I knit.,Я вяжу.,मैं बुनता हूं.
I know.,Я знаю.,मुझे पता है।
I left.,Я ушел.,मैंने।
I lied.,Я врал.,मैंने झूठ बोला।
I lost.,Я потерял.,मेरी हार हुई।
I paid.,Я заплатил.,मैंने भुगतान कर दिया है।
I quit.,С меня хватит.,मैं छोड़ता हूं।
I swim.,Я плаваю.,मैं तैरता हूं।
I work.,Я работаю.,मैं काम करता हूँ।
I'm 19.,Мне 19.,मैं 19 का हूं।
I'm OK.,Я в порядке.,मैं ठीक हूं।
I'm up.,Я вверху.,मैं तैयार हूं।
Listen.,Слушать.,सुनना।
No way!,Ни за что!,बिलकुल नहीं!
Really?,Действительно?,वास्तव में?
Try it.,Попробуй это.,इसे अजमाएं।
We try.,Мы пытаемся.,हम कोशिश करेंगे।
We won.,Мы выиграли.,हम जीत गए।
Why me?,Почему я?,मैं क्यों?
Ask Tom.,Спроси Тома.,टॉम से पूछो.
Awesome!,Потрясающий!,बहुत बढ़िया!
Be calm.,Успокойся.,शांत रहो।
Be fair.,Будь честен.,निष्पक्ष हो।
Be nice.,Будь милым.,अच्छा होगा।
Beat it.,Отвали.,इसे हरायें।
Burn it.,Сожги это.,इसे जला।
Call me.,Позвоните мне.,मुझे कॉल करो।
Call us.,Позвоните нам.,हमें कॉल करें.
Come in.,Войдите.,अंदर आएं।
Come on!,Ну давай же!,चलो भी!
Come on.,Ну давай же.,चलो भी।
Drop it!,Брось это!,जाने दो!
Drop it.,Брось это.,जाने दो।
Fold it.,Сложите его.,मोड़ना।
Get Tom.,Возьми Тома.,टॉम प्राप्त करें.
Get out!,Убирайся!,चले जाओ!
Get out.,Убирайся.,चले जाओ।
Go away!,Уходите!,दूर जाओ!
Go away.,Уходите.,दूर जाओ।
Go back.,Возвращаться.,वापस जाओ।
Go home.,Иди домой.,घर जाओ।
Go slow.,Двигайся медленнее.,धीरे जाइये।
Goodbye!,До свидания!,अलविदा!
Hang on.,Подожди.,डटे रहो।
He came.,Он пришел.,उसने आ।
He quit.,Он вышел.,उसने छोड़ दिया।
He runs.,Он бежит.,वह दौड़ता है।
Help me!,Помоги мне!,मेरी सहायता करो!
Help me.,Помоги мне.,मेरी सहायता करो।
Help us.,Помоги нам.,हमारी मदद करें।
"Hi, Tom.",Привет том.,नमस्ते टॉम।
Hit Tom.,Ударь Тома.,टॉम को मारो.
Hold it!,Погоди!,इसे पकड़ो!
Hold on.,Подожди.,पकड़ना।
Hug Tom.,Обними Тома.,टॉम को गले लगाओ.
I agree.,Я согласен.,मैं सहमत हूं।
I bowed.,Я поклонился.,मैंने प्रणाम किया.
I cried.,Я плакал.,मैं रोया।
I dozed.,Я задремал.,मुझे झपकी आ गयी.
I drove.,Я поехал.,मैंने चलाया।
I moved.,Я переехал.,मैं ले जाया गया।
I slept.,Я спал.,मैं सो गया।
I snore.,Я храплю.,मैं खर्राटे लेता हूँ.
I stood.,Я стоял.,मैं खड़ा था।
I swore.,Я поклялся.,मेें कसम खाता हुँ।
I tried.,Я пытался.,मैंने कोशिश की।
I waved.,Я махнул.,मैंने लहराया।
I'll go.,Я пойду.,मैं जाऊँगा।
I'm Tom.,Я Том.,मैं टॉम हूं.
I'm bad.,Я плохой.,मैं बुरा हूँ।
I'm fat.,Я толстый.,मैं मोटा हूँ।
I'm fit.,Я готов.,मैं फिट हूं।
I'm hit!,Я поражен!,मैंने मारा!
I'm hot.,Мне жарко.,मैं गरम हूँ.
I'm ill.,Я болен.,मैं बीमार हूँ।
I'm mad.,Я псих.,मैं पागल हो रहा हूँ।
I'm new.,Я новенький.,मैं नया हूं।
I'm old.,Я стар.,मैं बूढ़ा हो गया हूँ।
I'm sad.,Мне грустно.,मैं दुखी हूं।
I'm shy.,Я застенчив.,मैं शर्मीला हूँ।
I'm wet.,Я мокрый.,मै गीला हूँ।
It's OK.,Ничего страшного.,कोई बात नहीं।
It's me!,Это я!,यह मैं हूं!
It's me.,Это я.,यह मैं हूं।
Join us.,Присоединяйтесь к нам.,हमसे जुड़ें।
Keep it.,Оставь это.,इसे रखें।
Kill it.,Убей это.,उसे मार।
Kiss me.,Поцелуй меня.,मुझे किस करो।
Lock it.,Закрой.,ताला लगाएं।
Look up.,Искать.,ऊपर देखो।
"Me, too.",Я тоже.,मैं भी।
Open up.,Открыть.,खुलना।
Perfect!,Идеальный!,उत्तम!
Pull it.,Вытащить его.,खीचो।
Quit it!,Брось это!,इसे छोड़ दें!
See you!,Увидимся!,फिर मिलते हैं!
See you.,Увидимся.,फिर मिलते हैं।
Show me.,Покажите мне.,मुझे दिखाओ।
Shut up!,Замолчи!,चुप रहो!
Skip it.,Пропусти это.,इसे छोड़ दें।
So long.,Пока.,बहुत लंबा।
Stop it.,Прекрати это.,इसे रोक।
Take it.,Возьми это.,इसे लें।
Tell me.,Скажи мне.,मुझे बताओ।
