English,Russian,Hindi
"""Look,"" she said.","«Посмотри», сказала она.","""देखो,"" उसने कहा।"
3 times 5 is 15.,3 раза по 5 будет 15.,3 गुना 5 15 है.
5 is less than 8.,5 меньше 8.,"5, 8 से कम है."
A bee stung Tom.,Тома ужалила пчела.,टॉम को मधुमक्खी ने काट लिया।
"A beer, please.","Пиво, пожалуйста.",कृपया एक बीयर दें।
A bird has wings.,У птицы есть крылья.,एक पक्षी के पंख होते हैं.
A boat capsized.,Лодка перевернулась.,एक नाव पलट गयी.
A bug bit me.,Меня укусил жук.,एक कीड़े ने मुझे काट लिया.
A cab is waiting.,Такси ждет.,एक कैब इंतज़ार कर रही है.
A car drove past.,Мимо проехала машина.,एक कार गुजरी।
A car hit Tom.,Машина сбила Тома.,एक कार ने टॉम को टक्कर मार दी।
A car went by.,Проехала машина.,एक कार गुजरी.
A car's coming.,Приезжает машина.,एक कार आ रही है.
A cobra bit Tom.,Кобра укусила Тома.,एक कोबरा ने टॉम को काट लिया।
"A coke, please.","Кокс, пожалуйста.",कृपया एक कोक।
A cop was killed.,Полицейский был убит.,एक पुलिसकर्मी मारा गया.
A deal is a deal.,Сделка есть сделка.,सौदा तो सौदा है.
A dog bit Tom.,Собака укусила Тома.,एक कुत्ते ने टॉम को काट लिया।
A dog is barking.,Собака лает.,एक कुत्ता भौंक रहा है.
A fox came along.,Пришла лиса.,एक लोमड़ी साथ आई।
A fuse has blown.,Перегорел предохранитель.,एक फ्यूज उड़ गया है.
A girl phoned me.,Мне позвонила девушка.,एक लड़की ने मुझे फोन किया.
A horse bit Tom.,Лошадь укусила Тома.,एक घोड़े ने टॉम को काट लिया।
A lion is strong.,Лев сильный.,शेर ताकतवर होता है.
A man must work.,Мужчина должен работать.,मनुष्य को कर्म अवश्य करना चाहिए।
A shot rang out.,Раздался выстрел.,एक गोली चली.
Abandon ship!,Покинуть корабль!,जहाज का परित्याग!
Abandon ship.,Покинуть корабль.,जहाज का परित्याग।
About what time?,Примерно в какое время?,किस समय के बारे में?
Act like a man.,Веди себя как мужчина.,एक आदमी की तरह व्यवहार करें.
Act like adults.,Ведите себя как взрослые.,वयस्कों की तरह व्यवहार करें.
Act your age.,Действуйте согласно своему возрасту.,अपनी आयु के अनुसार व्यवहार करें।
Add more water.,Добавьте еще воды.,और पानी डालें.
Add some salt.,Добавьте немного соли.,थोड़ा नमक डालें.
Adjust your tie.,Поправьте галстук.,अपनी टाई समायोजित करें.
Ads are annoying.,Реклама раздражает.,विज्ञापन कष्टप्रद हैं.
After you.,После Вас.,आप के बाद.
Aim higher.,Цельтесь выше.,ऊंचा लक्ष्य रखें।
Aim. Fire!,Цель. Огонь!,उद्देश्य। आग!
Ain't that cute?,Разве это не мило?,क्या वह प्यारा नहीं है?
All I do is work.,"Все, что я делаю, это работа.",मैं बस काम करता हूं।
All aboard!,Все на борт!,सभी सवार!
All are present.,Все присутствуют.,सभी मौजूद हैं.
All babies cry.,Все дети плачут.,सभी बच्चे रोते हैं.
All is quiet.,Все тихо.,सब शांत है.
All is still.,Все по-прежнему.,सब अभी भी है.
All is well.,Все хорошо.,सब ठीक है।
All men must die.,Все люди должны умереть.,सब मर जाने चाहिए।
All of them died.,Все они умерли.,वे सभी मर गये.
All three died.,Все трое умерли.,तीनों की मौत हो गई.
All was calm.,Все было спокойно.,सब शांत था.
All was still.,Все было тихо.,सब कुछ शांत था.
All were present.,Все присутствовали.,सभी उपस्थित थे.
All were silent.,Все молчали.,सभी चुप थे.
Allow me to go.,Разрешите мне уйти.,मुझे जाने की इजाजत दीजिये.
Allow me to help.,Позвольте мне помочь.,मुझे मदद करने की अनुमति दें.
Am I a prisoner?,Я пленник?,क्या मैं कैदी हूं?
Am I a suspect?,Я подозреваемый?,क्या मैं संदिग्ध हूं?
Am I alone here?,Я здесь один?,क्या मैं यहाँ अकेला हूँ?
Am I approved?,Я одобрен?,क्या मुझे मंजूर है?
Am I boring you?,Я тебе надоедаю?,क्या मैं तुम्हें बोर कर रहा?
Am I clear?,Я чист?,क्या मैंने स्पष्ट कर दिया है?
Am I correct?,Я прав?,क्या मैं सही हूँ?
Am I dead?,Я мертв?,क्या मैं मर गयी हूं?
Am I dreaming?,Я мечтаю?,क्या मैं सपना देख रहा हूं?
Am I dying?,Я умираю?,क्या मैं मर रहा हूँ?
Am I early?,Я рано?,मैं जल्दी आ गया हूँ?
Am I ever wrong?,Я когда-нибудь ошибался?,क्या मैं कभी ग़लत हूँ?
Am I fat?,Я толстый?,क्या मैं मोटा हूँ?
Am I fired?,Меня уволили?,क्या मुझे नौकरी से निकाल दिया गया है?
Am I first?,Я первый?,क्या मैं प्रथम हूँ?
Am I free to go?,Я свободен идти?,क्या मैं जाने के लिए स्वतंत्र हूँ?
Am I hired?,Меня наняли?,क्या मुझे काम पर रखा गया है?
Am I hurting you?,Я причиняю тебе боль?,क्या मैं तुम्हें दुःख पहुँचा रहा हूँ?
Am I in love?,Я влюблен?,क्या मैं प्यार में हूँ?
Am I intruding?,Я мешаю?,क्या मैं घुसपैठ कर रहा हूँ?
Am I invited?,Меня пригласили?,क्या मुझे बुलाया गया है?
Am I late?,Я опаздываю?,क्या मैं देर से आया हूँ?
Am I mistaken?,Я ошибаюсь?,क्या मैं ग़लत हूँ?
Am I not right?,Разве я не прав?,क्या मैं सही नहीं हूँ?
Am I on time?,Я вовремя?,क्या मैं समय पर हूँ?
Am I really sick?,Я действительно болен?,क्या मैं सचमुच बीमार हूँ?
Am I really ugly?,Я действительно уродлив?,क्या मैं सचमुच बदसूरत हूँ?
Am I right?,Я прав?,क्या मैं सही हूँ
