English,Russian
Go.,Марш!
Go.,Иди.
Go.,Идите.
Hi.,Здравствуйте.
Hi.,Привет!
Hi.,Хай.
Hi.,Здрасте.
Hi.,Здоро́во!
Run!,Беги!
Run!,Бегите!
Run.,Беги!
Run.,Бегите!
Who?,Кто?
Wow!,Вот это да!
Wow!,Круто!
Wow!,Здорово!
Wow!,Ух ты!
Wow!,Ого!
Wow!,Вах!
Fire!,Огонь!
Fire!,Пожар!
Help!,Помогите!
Help!,На помощь!
Help!,Спасите!
Hide.,Прячься.
Hide.,Прячьтесь.
Jump!,Прыгай!
Jump!,Прыгайте!
Jump.,Прыгай!
Jump.,Прыгайте!
Stay.,Оставайся.
Stay.,Оставайтесь.
Stay.,Останься.
Stay.,Останьтесь.
Stop!,Стой!
Stop!,Остановитесь!
Stop!,Остановись!
Wait!,Подожди!
Wait!,Подождите!
Wait!,Ждите!
Wait!,Жди!
Wait.,Ждите.
Wait.,Подожди.
Wait.,Подождите.
Do it.,Сделай это.
Go on.,Продолжай.
Go on.,Продолжайте.
Hello!,Здравствуйте.
Hello!,Привет!
Hello!,Алло!
Hurry!,Поспешите.
I ran.,Я бежал.
I ran.,Я бежала.
I ran.,Я побежал.
I ran.,Я побежала.
I see.,Понимаю.
I see.,Понятно.
I see.,Вижу.
I try.,Я пытаюсь.
I try.,Я стараюсь.
I try.,Я пробую.
I won!,Я победил!
I won!,Я победила!
I won!,Я выиграл!
I won!,Я выиграла!
Oh no!,О нет!
Relax.,Расслабьтесь.
Relax.,Попустись.
Relax.,Расслабься.
Shoot!,Стреляй!
Smile.,Улыбочка.
Smile.,Улыбнитесь.
Smile.,Улыбнись.
Smile.,Улыбайся.
Smile.,Улыбнитесь!
Smile.,Улыбайтесь!
Attack!,В атаку!
Cheers!,За ваше здоровье!
Cheers!,За Ваше здоровье!
Cheers!,Будем!
Cheers!,Ваше здоровье!
Cheers!,Твоё здоровье!
Eat it.,Съешь это.
Eat up.,Доедай.
Freeze!,Ни с места!
Freeze!,Никому не двигаться.
Freeze!,Застынь!
Freeze!,Замри!
Get up.,Вставай.
Get up.,Поднимайся.
Get up.,Поднимайтесь.
Go now.,А теперь уходи.
Go now.,Идите сейчас.
Go now.,Поезжайте сейчас.
Go now.,Иди сейчас.
Go now.,Поезжай сейчас.
Go now.,Теперь иди.
Go now.,Теперь идите.
Go now.,Иди уже.
Go now.,Идите уже.
Got it!,Понял!
Got it?,Понял?
Got it?,Усёк?
Got it?,Усекла?
Got it?,Ферштейн?
He ran.,Он бежал.
Hop in.,Залезай.
Hop in.,Запрыгивай.
Hug me.,Обними меня.
Hug me.,Обнимите меня.
I fell.,Я упал.
I fell.,Я упала.
I knit.,Я вяжу.
I know.,Я знаю.
I know.,Знамо дело.
I know.,Знаю.
I left.,Я ушёл.
I left.,Я ушла.
I left.,Я уехал.
I left.,Я уехала.
I lied.,Я солгал.
I lied.,Я соврал.
I lost.,Я проиграл.
I lost.,Я проиграла.
I paid.,Я заплатил.
I paid.,Я заплатила.
I quit.,Я увольняюсь.
I swim.,Я плаваю.
I work.,Я работаю.
I'm 19.,Мне девятнадцать лет.
I'm OK.,Со мной всё в порядке.
I'm OK.,У меня всё хорошо.
I'm OK.,Я в порядке.
I'm OK.,У меня всё в порядке.
I'm up.,Я встал.
I'm up.,Я встала.
Listen.,Слушай!
Listen.,Послушай!
Listen.,Слушай.
Listen.,Слушайте.
Listen.,Послушай.
Listen.,Послушайте.
No way!,Не может быть!
No way!,Это невозможно!
No way!,Никогда в жизни!
No way!,Быть не может!
No way!,Это исключено!
No way!,Ни в коем случае!
No way!,Ни в коем случае.
No way!,Ни за что!
Really?,Правда?
Really?,"Что, правда?"
Really?,Да неужели?
Really?,Да неужто это правда?
Really?,Вот как?
Really?,На самом деле?
