English,Russian,Hindi
Go.,Марш!,जाना।
Go.,Иди.,जाना।
Go.,Идите.,जाना।
Hi.,Здравствуйте.,नमस्ते।
Hi.,Привет!,नमस्ते।
Hi.,Хай.,नमस्ते।
Hi.,Здрасте.,नमस्ते।
Hi.,Здоро́во!,नमस्ते।
Run!,Беги!,दौड़ना!
Run!,Бегите!,दौड़ना!
Run.,Беги!,दौड़ना।
Run.,Бегите!,दौड़ना।
Who?,Кто?,कौन?
Wow!,Вот это да!,बहुत खूब!
Wow!,Круто!,बहुत खूब!
Wow!,Здорово!,बहुत खूब!
Wow!,Ух ты!,बहुत खूब!
Wow!,Ого!,बहुत खूब!
Wow!,Вах!,बहुत खूब!
Fire!,Огонь!,आग!
Fire!,Пожар!,आग!
Help!,Помогите!,मदद करना!
Help!,На помощь!,मदद करना!
Help!,Спасите!,मदद करना!
Hide.,Прячься.,छिपाना।
Hide.,Прячьтесь.,छिपाना।
Jump!,Прыгай!,कूदना!
Jump!,Прыгайте!,कूदना!
Jump.,Прыгай!,कूदना।
Jump.,Прыгайте!,कूदना।
Stay.,Оставайся.,रहना।
Stay.,Оставайтесь.,रहना।
Stay.,Останься.,रहना।
Stay.,Останьтесь.,रहना।
Stop!,Стой!,रुकना!
Stop!,Остановитесь!,रुकना!
Stop!,Остановись!,रुकना!
Wait!,Подожди!,इंतज़ार!
Wait!,Подождите!,इंतज़ार!
Wait!,Ждите!,इंतज़ार!
Wait!,Жди!,इंतज़ार!
Wait.,Ждите.,इंतज़ार।
Wait.,Подожди.,इंतज़ार।
Wait.,Подождите.,इंतज़ार।
Do it.,Сделай это.,इसे करें।
Go on.,Продолжай.,जारी रखें।
Go on.,Продолжайте.,जारी रखें।
Hello!,Здравствуйте.,नमस्ते!
Hello!,Привет!,नमस्ते!
Hello!,Алло!,नमस्ते!
Hurry!,Поспешите.,जल्दी करो!
I ran.,Я бежал.,मैं भागा.
I ran.,Я бежала.,मैं भागा.
I ran.,Я побежал.,मैं भागा.
I ran.,Я побежала.,मैं भागा.
I see.,Понимаю.,अच्छा ऐसा है।
I see.,Понятно.,अच्छा ऐसा है।
I see.,Вижу.,अच्छा ऐसा है।
I try.,Я пытаюсь.,मैं कोशिश करता हूँ।
I try.,Я стараюсь.,मैं कोशिश करता हूँ।
I try.,Я пробую.,मैं कोशिश करता हूँ।
I won!,Я победил!,मैं जीता!
I won!,Я победила!,मैं जीता!
I won!,Я выиграл!,मैं जीता!
I won!,Я выиграла!,मैं जीता!
Oh no!,О нет!,अरे नहीं!
Relax.,Расслабьтесь.,आराम करना।
Relax.,Попустись.,आराम करना।
Relax.,Расслабься.,आराम करना।
Shoot!,Стреляй!,गोली मार!
Smile.,Улыбочка.,मुस्कान।
Smile.,Улыбнитесь.,मुस्कान।
Smile.,Улыбнись.,मुस्कान।
Smile.,Улыбайся.,मुस्कान।
Smile.,Улыбнитесь!,मुस्कान।
Smile.,Улыбайтесь!,मुस्कान।
Attack!,В атаку!,आक्रमण करना!
Cheers!,За ваше здоровье!,प्रोत्साहित करना!
Cheers!,За Ваше здоровье!,प्रोत्साहित करना!
Cheers!,Будем!,प्रोत्साहित करना!
Cheers!,Ваше здоровье!,प्रोत्साहित करना!
Cheers!,Твоё здоровье!,प्रोत्साहित करना!
Eat it.,Съешь это.,इसे खाएं।
Eat up.,Доедай.,खाओ।
Freeze!,Ни с места!,जमाना!
Freeze!,Никому не двигаться.,जमाना!
Freeze!,Застынь!,जमाना!
Freeze!,Замри!,जमाना!
Get up.,Вставай.,उठना।
Get up.,Поднимайся.,उठना।
Get up.,Поднимайтесь.,उठना।
